epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.93295,2.17631,5.09509,1.76827,0,0,0,0,1.54079,4.75077,1.30516,8.062e-05,8.062e-05,8.062e-05
2,19.9256,1.53889,4.42741,1.23392,0.0371,0.29261,0.04834,0.02762,1.40912,4.24629,1.16851,0.000160772,0.000160772,0.000160772
3,29.4424,1.49244,3.84133,1.18325,0.07559,0.61698,0.11514,0.06961,1.46334,3.54541,1.22978,0.000237622,0.000237622,0.000237622
4,38.9387,1.44536,3.36257,1.17425,0.25826,0.40126,0.18958,0.12042,1.41157,2.86352,1.19927,0.000261487,0.000261487,0.000261487
5,48.2932,1.48518,3.01577,1.18557,0.23883,0.43215,0.23995,0.15395,1.34508,2.60811,1.18774,0.000255982,0.000255982,0.000255982
6,57.8442,1.44172,2.67252,1.1822,0.24966,0.46346,0.25484,0.16201,1.33431,2.44818,1.20732,0.000250478,0.000250478,0.000250478
7,67.4144,1.43128,2.50871,1.17015,0.24619,0.57287,0.29407,0.18874,1.29677,2.18879,1.18265,0.000244974,0.000244974,0.000244974
8,77.0046,1.39318,2.31004,1.17075,0.25394,0.63047,0.31314,0.19574,1.31894,2.02833,1.21483,0.000239469,0.000239469,0.000239469
9,86.5729,1.36651,2.16826,1.16471,0.2772,0.62262,0.32775,0.20541,1.29703,2.02976,1.21592,0.000233965,0.000233965,0.000233965
10,96.7012,1.36779,2.06214,1.17635,0.29776,0.68404,0.35276,0.21864,1.29536,1.85693,1.2204,0.00022846,0.00022846,0.00022846
11,106.239,1.35021,1.99861,1.16755,0.32828,0.66316,0.3745,0.23755,1.24416,1.8385,1.18646,0.000222956,0.000222956,0.000222956
12,115.632,1.32654,1.91939,1.16237,0.35724,0.67,0.40265,0.25626,1.27747,1.80631,1.17764,0.000217452,0.000217452,0.000217452
13,125.319,1.32486,1.87596,1.1529,0.38227,0.7341,0.45613,0.29725,1.21477,1.63938,1.17615,0.000211947,0.000211947,0.000211947
14,134.847,1.30678,1.82676,1.14747,0.38344,0.73048,0.44288,0.28116,1.23755,1.70794,1.16602,0.000206443,0.000206443,0.000206443
15,144.362,1.29826,1.7699,1.15112,0.38353,0.76061,0.42013,0.26832,1.20262,1.60539,1.1669,0.000200938,0.000200938,0.000200938
16,153.945,1.27715,1.73141,1.13669,0.40281,0.7651,0.43459,0.28197,1.17692,1.60348,1.15998,0.000195434,0.000195434,0.000195434
17,163.508,1.29075,1.69521,1.15471,0.41597,0.78653,0.45989,0.30045,1.19697,1.55585,1.17009,0.00018993,0.00018993,0.00018993
18,173.181,1.27749,1.6742,1.14043,0.42433,0.79947,0.48358,0.31428,1.19362,1.48687,1.15903,0.000184425,0.000184425,0.000184425
19,182.935,1.25691,1.62874,1.12954,0.42357,0.80889,0.47612,0.30785,1.18538,1.45853,1.16552,0.000178921,0.000178921,0.000178921
20,192.562,1.26241,1.6176,1.1287,0.43342,0.8325,0.48693,0.31611,1.18249,1.43618,1.15146,0.000173416,0.000173416,0.000173416
21,202.116,1.25571,1.59351,1.13939,0.44875,0.82777,0.50381,0.32821,1.15939,1.41629,1.14523,0.000167912,0.000167912,0.000167912
22,211.599,1.24863,1.57546,1.13274,0.46185,0.82262,0.53839,0.35468,1.16634,1.38988,1.1385,0.000162408,0.000162408,0.000162408
23,221.123,1.24995,1.5483,1.13035,0.47553,0.84002,0.55774,0.36889,1.154,1.34015,1.13759,0.000156903,0.000156903,0.000156903
24,230.663,1.23906,1.54501,1.12285,0.46402,0.8444,0.53545,0.34927,1.15225,1.35308,1.14916,0.000151399,0.000151399,0.000151399
25,240.127,1.24962,1.5355,1.1276,0.46645,0.85382,0.5203,0.34441,1.12773,1.35054,1.13337,0.000145894,0.000145894,0.000145894
26,249.845,1.22569,1.52223,1.12219,0.47057,0.86893,0.54406,0.35746,1.15583,1.32032,1.12476,0.00014039,0.00014039,0.00014039
27,259.344,1.21014,1.52648,1.10705,0.47094,0.87898,0.53209,0.34694,1.1536,1.30926,1.12719,0.000134886,0.000134886,0.000134886
28,268.861,1.21767,1.48833,1.11449,0.46841,0.87418,0.54728,0.36131,1.12658,1.2981,1.12941,0.000129381,0.000129381,0.000129381
29,278.429,1.2107,1.4961,1.10568,0.45163,0.86669,0.50895,0.33594,1.12769,1.32169,1.13203,0.000123877,0.000123877,0.000123877
30,287.966,1.20067,1.47128,1.10509,0.46566,0.87797,0.51368,0.33882,1.13948,1.30102,1.12358,0.000118372,0.000118372,0.000118372
31,297.46,1.22436,1.47256,1.11592,0.47175,0.88114,0.51393,0.33989,1.11501,1.29368,1.11806,0.000112868,0.000112868,0.000112868
32,306.908,1.18933,1.43774,1.10727,0.46621,0.8626,0.52011,0.34733,1.11619,1.31515,1.11973,0.000107364,0.000107364,0.000107364
33,316.348,1.19067,1.44124,1.11021,0.47196,0.87691,0.52079,0.3421,1.14496,1.29013,1.12865,0.000101859,0.000101859,0.000101859
34,325.935,1.1886,1.44887,1.10903,0.48132,0.89635,0.54369,0.36178,1.10752,1.24302,1.12065,9.63548e-05,9.63548e-05,9.63548e-05
35,335.378,1.18066,1.42372,1.10775,0.47948,0.89101,0.53836,0.36023,1.09658,1.25192,1.11434,9.08504e-05,9.08504e-05,9.08504e-05
36,344.932,1.1577,1.42503,1.08852,0.48118,0.88478,0.55821,0.3709,1.10211,1.23609,1.11654,8.5346e-05,8.5346e-05,8.5346e-05
37,354.423,1.17536,1.42845,1.10811,0.48883,0.89176,0.55715,0.37205,1.10979,1.24746,1.11083,7.98416e-05,7.98416e-05,7.98416e-05
38,364.02,1.19144,1.41362,1.09846,0.4823,0.89195,0.55532,0.3693,1.10796,1.23098,1.11651,7.43372e-05,7.43372e-05,7.43372e-05
39,373.5,1.19565,1.41409,1.1032,0.48585,0.89733,0.55545,0.37019,1.10195,1.22372,1.11825,6.88328e-05,6.88328e-05,6.88328e-05
40,382.957,1.1869,1.40776,1.10854,0.48731,0.8958,0.56603,0.38078,1.09535,1.21693,1.1155,6.33284e-05,6.33284e-05,6.33284e-05
41,393.927,1.17896,1.37984,1.15715,0.47676,0.87436,0.56965,0.37998,1.13864,1.28516,1.13023,5.7824e-05,5.7824e-05,5.7824e-05
42,403.208,1.14655,1.34769,1.12615,0.48605,0.89018,0.5539,0.36845,1.10918,1.22915,1.1144,5.23196e-05,5.23196e-05,5.23196e-05
43,412.476,1.14184,1.33495,1.12667,0.48047,0.89335,0.54267,0.36511,1.08579,1.24289,1.11413,4.68152e-05,4.68152e-05,4.68152e-05
44,422.149,1.1358,1.31193,1.1218,0.48688,0.90563,0.55006,0.37038,1.08902,1.21361,1.12068,4.13108e-05,4.13108e-05,4.13108e-05
45,431.369,1.13883,1.31086,1.13283,0.4864,0.9072,0.54826,0.36887,1.0877,1.21321,1.11705,3.58064e-05,3.58064e-05,3.58064e-05
46,440.626,1.1248,1.29376,1.11729,0.48981,0.89662,0.55406,0.37387,1.07793,1.21001,1.11339,3.0302e-05,3.0302e-05,3.0302e-05
47,449.771,1.12345,1.29795,1.11003,0.49444,0.90515,0.57547,0.39157,1.06181,1.18863,1.10549,2.47976e-05,2.47976e-05,2.47976e-05
48,458.958,1.10936,1.28246,1.11091,0.48865,0.91071,0.56445,0.38198,1.07744,1.19707,1.11176,1.92932e-05,1.92932e-05,1.92932e-05
49,468.069,1.12287,1.28328,1.11599,0.48621,0.91227,0.54743,0.37165,1.07224,1.20113,1.1085,1.37888e-05,1.37888e-05,1.37888e-05
50,477.304,1.11256,1.27531,1.11202,0.48497,0.91556,0.54091,0.3687,1.06396,1.20181,1.10586,8.2844e-06,8.2844e-06,8.2844e-06
